GATE_PC_SI: 518.0245,760.2617,386.5159,698.4941,1,0
GATE_PC_SU: 523.0181,-1601.512,443.0139,-1242.441,1,0
PC_A01: 380.0186,-1600.512,324.0139,-1251.441,1,0
PC_A02: 378.0186,-771.5132,329.0138,-595.4411,1,1
PC_A03: -521.9814,-632.5129,-308.9861,-480.4412,1,1
PC_A04: 209.0314,653.1505,201.5868,604.9838,1,1
PC_A05: 560.333,-173.4109,306.9482,-60.43064,2,1
PC_A06: -385.1861,-42.8953,-211.109,-73.84187,1,1
PC_A07: -532.9268,-37.51841,-312.6216,-72.64098,1,1
PC_A08: -391.9411,68.30194,-200.1175,46.95757,1,1
PC_B01: -519.9269,-239.5188,-317.6216,-266.6409,1,1
PC_B02: -388.8007,824.6685,-231.4663,732.2879,1,1
PC_B03: -388.2714,1059.081,-235.9074,935.9941,1,1
PC_B04: 210.7001,821.9376,197.9211,737.2509,1,1
PC_B05: 209.7001,1055.938,193.9211,936.251,1,1
PC_B06: 432.0244,868.2617,304.5157,819.4941,2,1
PC_C01: 378.0186,-1366.512,330.0138,-1143.441,1,1
PC_C02: 378.0186,-1003.512,327.0138,-865.4418,1,1
PC_C03: 78.01898,-736.5132,12.01364,-593.4411,1,1
PC_C04: 78.01898,-632.5126,10.01385,-484.4412,1,1
PC_C05: 377.0186,-537.5129,324.0138,-482.4412,1,1
PC_C06: -521.9814,-407.5128,-415.9861,-372.4416,1,1
PC_C07: 77.01911,-408.5128,10.0139,-365.4413,1,1
PC_C08: 375.0186,-176.5134,320.0139,-195.4413,1,1
PC_C09: -221.8172,-278.1107,-100.4515,-383.7811,1,1
PC_C10: 518.4346,994.6215,386.644,799.289,1,1
PC_D01: 131.903,484.2242,89.54851,387.2192,1,1
PC_D02: -3.204491,-58.32597,-107.2501,-79.72073,1,1
PC_D03: -613.311,131.6354,-411.0061,48.51337,1,1
PC_D04: -168.2385,389.7502,-120.5478,271.3145,1,1
PC_D05: -468.2343,378.0065,-329.3926,258.1885,1,1
PC_D06: -621.8008,654.7899,-549.0119,619.5607,1,1
PC_F01: -299.8564,-761.5132,-201.7989,-661.3786,1,1
PC_F02: 298.0891,186.6743,219.3379,97.75072,1,1
PC_F03: -88.9826,719.0651,-121.4723,582.7793,1,1
PC_F04: -768.105,420.9169,-528.2481,257.8811,1,1
PC_H01: -27.38997,1227.171,-336.7561,1134.439,1,3
PC_S01: 521.0181,-771.5129,434.0139,-590.4411,1,0
PC_S02: 352.1833,653.8914,305.5488,620.2186,1,0
PC_S03: -248.6911,66.12326,-97.90319,46.74328,1,0
OffScreenDen_PC: 197.0189,-180.5134,-317.9861,-374.4416,1,1
Connection: GATE_PC_SI,PC_C10,11,19,25,8,1,3
Connection: GATE_PC_SU,PC_A01,11,19,39,15,1,0
Connection: PC_A01,PC_C01,22,23,24,21,1,3
Connection: PC_A02,PC_C05,24,30,23,14,1,3
Connection: PC_A02,PC_C03,4,16,146,16,2,0
Connection: PC_A02,PC_S01,35,14,7,17,0,2
Connection: PC_A02,PC_C02,24,10,24,117,3,1
Connection: PC_A03,PC_C06,19,32,76,8,1,3
Connection: PC_A03,PC_F01,34,16,5,109,0,2
Connection: PC_A04,PC_F03,5,14,149,26,2,0
Connection: PC_A04,PC_S02,43,12,6,17,0,2
Connection: PC_A05,PC_F02,30,31,6,15,1,2
Connection: PC_A05,PC_D02,3,17,198,27,2,0
Connection: PC_A06,PC_A07,4,16,42,12,2,0
Connection: PC_A06,PC_D02,44,16,8,27,0,2
Connection: PC_A07,PC_D03,26,29,77,11,1,3
Connection: PC_A07,PC_B01,25,5,27,69,3,1
Connection: PC_A08,PC_S03,43,12,20,15,0,2
Connection: PC_A08,PC_D03,6,10,95,14,2,0
Connection: PC_B01,PC_C06,22,10,76,25,3,1
Connection: PC_B02,PC_B03,23,69,26,12,1,3
Connection: PC_B02,PC_F03,37,17,3,62,0,2
Connection: PC_B03,PC_H01,22,72,77,9,1,3
Connection: PC_B04,PC_B05,23,70,24,11,1,3
Connection: PC_B04,PC_B06,36,58,11,17,0,2
Connection: PC_B04,PC_F03,12,18,148,63,2,0
Connection: PC_B05,PC_H01,19,72,284,15,1,3
Connection: PC_C01,PC_C02,22,118,24,9,1,3
Connection: PC_C03,PC_F01,6,22,97,62,2,0
Connection: PC_C04,PC_F01,4,20,94,107,2,0
Connection: PC_C04,PC_C05,146,13,7,23,0,2
Connection: PC_C05,PC_C08,26,116,22,17,1,3
Connection: PC_C05,PC_C07,6,96,149,15,2,0
Connection: PC_C06,PC_C09,140,17,7,17,0,2
Connection: PC_C07,PC_C09,14,17,38,17,2,0
Connection: PC_C08,PC_F02,26,113,76,11,1,3
Connection: PC_C09,PC_D02,26,106,24,21,2,3
Connection: PC_C10,PC_H01,7,107,383,16,2,3
Connection: PC_D01,PC_F03,23,74,126,12,1,3
Connection: PC_D01,PC_D04,31,5,97,63,3,3
Connection: PC_D01,PC_F02,76,15,12,116,3,1
Connection: PC_D03,PC_F04,19,70,77,11,1,3
Connection: PC_D04,PC_D05,13,17,90,27,2,0
Connection: PC_D05,PC_F04,9,68,85,61,2,0
Connection: PC_D06,PC_F03,200,15,2,23,0,2
Connection: PC_D06,PC_F04,88,12,75,106,3,1
